id,poiId,cate_id,frontImg,title,avgScore,allCommentNum,address,avgPrice
32,42899673,c393,https://img.meituan.net/600.600/msmerchant/f6ee73217ced6cf17a557e013bfda686109170.jpg,布拉诺意大利餐厅（凯德店）,4,809,涪城区临园路东段74号凯德广场二期5楼（会仙路富乐路科委立交）,77
33,40715053,c393,https://img.meituan.net/600.600/msmerchant/656475bf507448a4fbc5e83f3c5ec4525177773.jpg,兰兰糕点城（金轮干道总店）,3.8,3058,江油市中坝镇金轮中路238号,20
34,5090236,c393,http://p0.meituan.net/600.600/deal/bd62e3e70a4f0bc4a383933f8139a45b400617.jpg,龙缘酸汤乌鱼府,4.5,132,涪城区红桥路嘉来板桥7栋1-3号,36
35,42452122,c393,https://img.meituan.net/600.600/msmerchant/f16e3da57b905b3628d4220ff782ef0181621.jpg,华香园蛋糕,4.3,45,涪城区新华西街55号,13
36,42722716,c393,http://p1.meituan.net/600.600/deal/35afbd889c95e5ae670fbca660f9cb3d388404.jpg,玉江清汤黄牛肉合恩餐饮,4.5,1207,游仙区芙蓉汉城38-9号,51
37,52211032,c393,http://p0.meituan.net/600.600/deal/40747f03e714f4be9914da6b4fb954d2224913.jpg,重庆土灶老火锅,4.6,564,涪城区西科大新区烧烤广场内（蒋记干锅）,38
38,6362780,c393,http://p1.meituan.net/600.600/mogu/25ec09a1455c642c920eff5ba7458a03165985.jpg,刘一手火锅（恒丰店）,4.2,3515,江油市渝州路137号恒丰园,41
39,2255670,c393,http://p1.meituan.net/600.600/mogu/f8c194674ae618d578c7dcac19cefb8479000.png,干锅先生（高新店）,4.2,1584,涪城区双碑中街57号（粥天下旁）,46
40,2852346,c393,http://p1.meituan.net/600.600/deal/6bfc83f5ca8a01db40a75acaf90e116144036.jpg,杨肥肠小火锅（花园店）,3.6,2576,涪城区花园北街7号,46
41,2255563,c393,https://img.meituan.net/600.600/msmerchant/e67f331310f67f5d2096806ae2f9fa7937119.jpg,老俵肥肠鸡（花园总店）,4.1,930,涪城区荷花东街39号（桂园雅居河堤边）,47
